site,month,sample_id,sample_num,raw_FLU,post_blank_flu,chla_mg_L_cuvette,mg_etoh,ml_etoh,ml_sample_filtered,chla_ug_L_fin
plq,jun,12,3,19.777,19.474,0.023931818,7901,10.01013556,200,1.197803729
plq,jun,13,1,13.756,13.453,0.022026392,7537,9.54896744,200,1.051646481
plq,jun,13,2,18.067,17.764,0.02338698,7531,9.541365767,200,1.115718645
nts,jun,13,3,18.512,18.209,0.023528484,7848,9.942987457,200,1.169717099
nts,jun,14,1,12.676,12.373,0.021688446,7871,9.972127201,200,1.08139969
nts,jun,14,2,17.029,16.726,0.02305768,7644,9.684530597,200,1.116514015
hek,jun,14,3,14.527,14.224,0.022268361,7788,9.866970734,200,1.098606336
hek,jun,15,1,11.249,10.946,0.021243707,7831,9.921449386,200,1.053841842
hek,jun,15,2,11.315,11.012,0.021264232,7768,9.841631826,200,1.046373716
aby,jun,15,3,9.15,8.847,0.020593235,7920,10.03420753,200,1.033183953
aby,jun,16,1,18.691,18.388,0.023585459,7872,9.973394147,200,1.176135407
aby,jun,16,2,12.29,11.987,0.021567944,7877,9.979728874,200,1.076211172
pyr,jun,16,3,14.605,14.302,0.022292874,7769,9.842898771,200,1.097132491
pyr,jun,17,1,34.405,34.102,0.028712073,7798,9.879640188,200,1.418324761
pyr,jun,17,2,33.956,33.653,0.028562162,7826,9.915114659,200,1.415985566
dag,jun,17,3,42.738,42.435,0.031530865,9580,12.13733688,200,1.91350363
dag,jun,18,1,11.074,10.771,0.021189307,7761,9.832763208,200,1.041747202
dag,jun,18,2,17.552,17.249,0.023223464,7852,9.948055239,200,1.155141514
tam,jul,18,3,17.04,16.737,0.023061164,7841,9.934118839,200,1.145461698
tam,jul,19,1,5.793,5.49,0.01956207,7870,9.970860256,200,0.975253334
tam,jul,19,2,4.149,3.846,0.019061196,7587,9.612314709,200,0.916111067
blh,jul,19,3,8.92,8.617,0.020522226,7812,9.897377423,200,1.015581098
blh,jun,20,1,5.349,5.046,0.019426531,7831,9.921449386,200,0.963696723
blh,jul,20,2,4.716,4.413,0.019233637,7766,9.839097935,200,0.946208204
dag,jul,21,1,11.389,11.086,0.02128725,7687,9.739009249,200,1.036583608
dag,jul,21,2,9.381,9.078,0.020664605,7782,9.859369061,200,1.018699838
dag,jul,21,3,21.279,20.976,0.024412796,7794,9.874572406,200,1.205329623
pyr,jul,22,1,10.974,10.671,0.021158235,7819,9.906246041,200,1.047993414
pyr,jul,22,2,12.147,11.844,0.02152334,7832,9.922716331,200,1.067849995
pyr,jul,22,3,6.859,6.556,0.019888291,7816,9.902445205,200,0.984713538
aby,jul,23,1,18.093,17.79,0.023395242,7757,9.827695426,200,1.149606566
aby,jul,23,2,17.537,17.234,0.023218705,7861,9.959457747,200,1.156228576
aby,jul,23,3,23.001,22.698,0.024967,7796,9.877106297,200,1.233008545
hek,jul,24,1,11.8,11.497,0.021415191,7807,9.891042696,200,1.059092818
hek,jul,24,2,7.375,7.072,0.020046607,7810,9.894843532,200,0.991790178
hek,jul,24,3,11.768,11.465,0.021405223,7793,9.873305461,200,1.056701531
nts,jul,25,1,10.115,9.812,0.020891738,7835,9.926517167,200,1.036910963
nts,jul,25,2,10.887,10.584,0.021131211,7862,9.960724693,200,1.052410852
nts,jul,25,3,9.497,9.194,0.020700465,7758,9.828962372,200,1.017320449
plq,jul,26,1,9.698,9.395,0.020762633,7888,9.993665273,200,1.037474023
plq,jul,26,2,9.668,9.365,0.020753352,7523,9.531230204,200,0.989024859
plq,jul,26,3,7.349,7.046,0.020038623,7840,9.932851894,200,0.995203375
pep,jul,27,1,2.373,2.07,0.018523142,7789,9.868237679,200,0.913953861
pep,jul,27,2,2.744,2.441,0.018635279,8238,10.43709616,200,0.972491007
pep,jul,27,3,4.086,3.783,0.019042056,7797,9.878373242,200,0.94052266
tam,aug,28,1,9.607,9.304,0.020734482,7867.49,9.967680223,200,1.033373441
tam,aug,28,2,8.684,8.381,0.020449421,7851.53,9.947459774,200,1.017098943
tam,aug,28,3,8.593,8.29,0.020421362,7850.93,9.946699607,200,1.015625769
blh,aug,29,1,12.214,11.911,0.021544236,7536,9.547700494,200,1.028489562
blh,aug,29,2,10.889,10.586,0.021131832,7880,9.98352971,200,1.054851348
blh,aug,29,3,9.909,9.606,0.020827938,7850,9.945521348,200,1.035723491
pep,aug,30,1,4.61,4.307,0.019201375,7935,10.05321171,200,0.965177446
pep,aug,30,2,5.695,5.392,0.019532137,7920,10.03420753,200,0.979947572
pep,aug,30,3,6.956,6.653,0.019918031,7838,9.930318003,200,0.988961919
plq,aug,31,1,10.482,10.179,0.021005506,7828,9.917648549,200,1.041626132
plq,aug,31,2,15.35,15.047,0.022527306,7858,9.955656911,200,1.121370654
plq,aug,31,3,13.668,13.365,0.021998812,7807,9.891042696,200,1.087955925
nts,aug,32,1,14.201,13.898,0.022165977,7947,10.06841505,200,1.115881292
nts,aug,32,2,11.575,11.272,0.021345129,7883,9.987330546,200,1.065904294
nts,aug,32,3,14.106,13.803,0.022136161,7734,9.798555682,200,1.084512051
hek,aug,33,1,15.362,15.059,0.022531087,7797.2,9.878626631,200,1.112880968
hek,aug,33,2,9.59,9.287,0.020729224,7833,9.923983276,200,1.028582371
hek,aug,33,3,11.855,11.552,0.021432324,7772,9.846699607,200,1.055188299
aby,aug,34,1,12.743,12.44,0.021709377,7856.71,9.954022552,200,1.080478131
aby,aug,34,2,11.688,11.385,0.021380309,7958.8,10.08336501,200,1.077927304
aby,aug,34,3,18.217,17.914,0.023434656,7882.45,9.986633726,200,1.170166615
pyr,aug,35,1,13.901,13.598,0.022071853,7841,9.934118839,200,1.096322044
pyr,aug,35,2,14.942,14.639,0.02239885,7904,10.0139364,200,1.121503305
pyr,aug,35,3,17.649,17.346,0.023254242,7843,9.93665273,200,1.155346629
dag,aug,36,1,12.266,11.963,0.021560457,7942,10.06208032,200,1.084715235
dag,aug,36,2,10.896,10.593,0.021134006,7838,9.930318003,200,1.049336993
dag,aug,36,3,14.836,14.533,0.022365504,7823,9.911313822,200,1.108357647
na,may,mid,1,60.481,60.178,0.037764096,7811,9.896110478,300,1.245725548
na,may,mid,2,61.371,61.068,0.03808505,7739,9.804890409,300,1.244732482
na,may,mid,3,66.984,66.681,0.040127478,7787,9.865703788,300,1.319619368
